time,data_instant_details_air_pressure_at_sea_level,data_instant_details_air_temperature,data_instant_details_cloud_area_fraction,data_instant_details_relative_humidity,data_instant_details_wind_from_direction,data_instant_details_wind_speed,data_next_12_hours_summary_symbol_code,data_next_1_hours_summary_symbol_code,data_next_1_hours_details_precipitation_amount,data_next_6_hours_summary_symbol_code,data_next_6_hours_details_precipitation_amount
2025-05-27T02:00:00Z,1001.4,5.6,1.6,91.4,209.4,2.0,partlycloudy_day,clearsky_day,0.0,fair_day,0.0
2025-05-27T03:00:00Z,1001.5,5.7,10.8,90.9,208.4,1.8,partlycloudy_day,clearsky_day,0.0,partlycloudy_day,0.0
2025-05-27T04:00:00Z,1001.4,7.2,79.4,86.7,201.7,0.6,partlycloudy_day,partlycloudy_day,0.0,fair_day,0.0
2025-05-27T05:00:00Z,1001.6,8.7,71.1,80.2,174.2,0.7,partlycloudy_day,partlycloudy_day,0.0,fair_day,0.0
2025-05-27T06:00:00Z,1001.4,10.1,24.4,70.2,178.2,1.2,partlycloudy_day,fair_day,0.0,fair_day,0.0
2025-05-27T07:00:00Z,1001.2,11.7,11.1,63.2,151.5,1.1,partlycloudy_day,clearsky_day,0.0,partlycloudy_day,0.0
2025-05-27T08:00:00Z,1000.9,12.4,35.6,76.7,46.4,2.5,partlycloudy_day,fair_day,0.0,partlycloudy_day,0.0
2025-05-27T09:00:00Z,1000.8,13.0,31.2,78.1,21.6,3.4,lightrainshowers_day,fair_day,0.0,partlycloudy_day,0.0
2025-05-27T10:00:00Z,1000.2,14.2,46.3,69.2,16.7,3.1,lightrainshowers_day,partlycloudy_day,0.0,partlycloudy_day,0.0
2025-05-27T11:00:00Z,999.8,15.7,42.9,62.3,55.4,2.3,lightrainshowers_day,partlycloudy_day,0.0,partlycloudy_day,0.0
2025-05-27T12:00:00Z,999.6,17.8,30.5,45.7,182.0,5.1,lightrainshowers_day,fair_day,0.0,partlycloudy_day,0.0
2025-05-27T13:00:00Z,999.0,18.6,51.2,43.9,180.9,4.7,lightrainshowers_day,partlycloudy_day,0.0,partlycloudy_day,0.0
2025-05-27T14:00:00Z,998.5,18.5,43.9,45.0,176.3,4.8,lightrain,partlycloudy_day,0.0,partlycloudy_day,0.0
2025-05-27T15:00:00Z,998.1,18.4,33.4,45.8,181.6,4.7,lightrain,fair_day,0.0,lightrain,0.8
2025-05-27T16:00:00Z,997.9,17.5,59.5,48.3,167.4,5.4,rain,partlycloudy_day,0.0,rain,0.9
2025-05-27T17:00:00Z,997.9,16.5,91.1,51.5,162.7,5.4,rain,cloudy,0.0,rain,1.1
2025-05-27T18:00:00Z,998.3,15.1,99.9,61.1,160.1,5.7,rain,lightrain,0.1,rain,1.3
2025-05-27T19:00:00Z,998.5,13.7,100.0,72.3,172.6,3.6,lightrain,lightrain,0.3,rain,1.9
2025-05-27T20:00:00Z,998.4,12.4,100.0,84.6,159.4,1.6,lightrain,rain,0.3,rain,1.8
2025-05-27T21:00:00Z,998.4,11.5,100.0,90.2,136.5,1.1,lightrain,lightrain,0.2,rain,1.5
2025-05-27T22:00:00Z,998.3,10.7,100.0,88.9,173.0,1.4,lightrain,lightrain,0.2,rain,1.4
2025-05-27T23:00:00Z,998.4,10.2,100.0,91.9,201.8,0.6,lightrain,lightrain,0.1,rain,1.4
2025-05-28T00:00:00Z,998.5,9.8,100.0,93.4,232.4,1.3,lightrain,rain,0.8,rain,1.3
2025-05-28T01:00:00Z,998.9,9.7,100.0,93.1,301.8,2.8,lightrain,lightrain,0.2,lightrain,0.6
2025-05-28T02:00:00Z,999.1,9.6,100.0,91.1,251.8,1.4,cloudy,cloudy,0.0,cloudy,0.0
2025-05-28T03:00:00Z,999.3,9.6,100.0,94.0,191.3,1.7,cloudy,cloudy,0.0,cloudy,0.0
2025-05-28T04:00:00Z,999.6,9.9,99.8,93.2,194.8,2.4,cloudy,cloudy,0.0,cloudy,0.0
2025-05-28T05:00:00Z,1000.1,10.4,100.0,91.3,195.3,2.7,partlycloudy_day,cloudy,0.0,cloudy,0.0
2025-05-28T06:00:00Z,1000.6,10.9,100.0,90.4,194.5,2.9,lightrainshowers_day,cloudy,0.0,cloudy,0.0
